ID	CR_cumulated_SLSJ	Disease_Cumulated
102897	103	Phenylketonuria|not_provided
613	103	Phenylketonuria|not_provided
589	103	PAH-related_disorder|Inborn_genetic_diseases|not_provided|Phenylketonuria
580	103	Polymicrogyria,_perisylvian,_with_cerebellar_hypoplasia_and_arthrogryposis|Phenylketonuria|Inborn_genetic_diseases|not_provided
2152159	103	Phenylketonuria
632	103	Hyperphenylalaninemia|Phenylketonuria|Inborn_genetic_diseases|not_provided
102773	103	PAH-related_disorder|Phenylketonuria|not_provided
102768	103	not_provided|Phenylketonuria
102667	103	PAH-related_disorder|Phenylketonuria|See_cases|not_provided
583	103	Hyperphenylalaninemia|PAH-related_disorder|not_provided|Inborn_genetic_diseases|Phenylketonuria
605	103	PAH-related_disorder|Inborn_genetic_diseases|Phenylketonuria|not_provided
586	103	Hyperphenylalaninemia|not_provided|Phenylketonuria
1669	29	Vitamin_D-dependent_rickets,_type_1|Vitamin_D-dependent_rickets,_type_1A|not_provided
1664	29	not_provided|Vitamin_D-dependent_rickets,_type_1A
228285	74	Rare_genetic_deafness|not_provided|Autosomal_recessive_nonsyndromic_hearing_loss_84B
498660	74	Rare_genetic_deafness|not_provided|See_cases
2628997	74	OTOGL-related_disorder|not_provided
5512	20	Spastic_paraplegia|not_provided|Hereditary_spastic_paraplegia|Charlevoix-Saguenay_spastic_ataxia
5517	20	SACS-related_disorder|Charlevoix-Saguenay_spastic_ataxia|Spastic_paraplegia
458265	20	Hereditary_spastic_paraplegia|Charlevoix-Saguenay_spastic_ataxia|Spastic_paraplegia
212111	20	Charlevoix-Saguenay_spastic_ataxia
9322	513	Hereditary_breast_ovarian_cancer_syndrome|Fanconi_anemia_complementation_group_D1|Uterine_corpus_cancer|Breast_neoplasm|BRCA2-related_disorder|Malignant_tumor_of_breast|Gastric_cancer|Breast_and/or_ovarian_cancer|not_provided|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_1|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Familial_cancer_of_breast
37826	513	Malignant_tumor_of_breast|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|not_provided|Hereditary_breast_ovarian_cancer_syndrome|Familial_cancer_of_breast|Breast_and/or_ovarian_cancer|Hereditary_cancer-predisposing_syndrome
51952	513	Medulloblastoma|Wilms_tumor_1|Malignant_tumor_of_prostate|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Breast_and/or_ovarian_cancer|Familial_cancer_of_breast|Glioma_susceptibility_3|Tracheoesophageal_fistula|Pancreatic_cancer,_susceptibility_to,_2|Fanconi_anemia_complementation_group_D1|BRCA2-related_disorder|Hereditary_cancer-predisposing_syndrome|not_provided|Hereditary_breast_ovarian_cancer_syndrome|Malignant_tumor_of_breast
38077	513	Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Hereditary_breast_ovarian_cancer_syndrome|Familial_cancer_of_breast|Pancreatic_cancer,_susceptibility_to,_2|Glioma_susceptibility_3|Fanconi_anemia_complementation_group_D1|Medulloblastoma|Wilms_tumor_1|Malignant_tumor_of_prostate|Hereditary_cancer-predisposing_syndrome|Breast_and/or_ovarian_cancer|not_provided
9328	513	Hereditary_breast_ovarian_cancer_syndrome|not_provided|Breast_and/or_ovarian_cancer|Malignant_tumor_of_breast|Hereditary_cancer-predisposing_syndrome|Breast-ovarian_cancer,_familial,_susceptibility_to,_2|Familial_cancer_of_breast
288404	599	Muscular_dystrophy,_limb-girdle,_autosomal_dominant_4|not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A
280037	599	not_provided|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A|Muscular_dystrophy,_limb-girdle,_autosomal_dominant_4
281505	599	Autosomal_recessive_limb-girdle_muscular_dystrophy|Abnormality_of_the_musculature|not_provided|Muscular_dystrophy,_limb-girdle,_autosomal_dominant_4|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2A
3905	240	not_provided|Tay-Sachs_disease
3938	240	HEXA-related_disorder|Tay-Sachs_disease
11865	19	Tyrosinemia_type_I
851025	19	Tyrosinemia_type_I
11870	19	Tyrosinemia_type_I|FAH-related_disorder|not_provided
11867	19	not_provided|Tyrosinemia_type_I
192320	90	Autosomal_dominant_polycystic_kidney_disease|not_provided|Polycystic_kidney_disease,_adult_type
3029461	90	PKD1-related_disorder
1074293	225	not_provided|Oculogastrointestinal-neurodevelopmental_syndrome
1810410	225	Oculogastrointestinal-neurodevelopmental_syndrome
3013954	106	DNAH9-related_disorder|not_provided
2629058	106	DNAH9-related_disorder|not_provided
4443	56	Ocular_cystinosis|Juvenile_nephropathic_cystinosis|Inborn_genetic_diseases|not_provided|Nephropathic_cystinosis|Cystinosis
21439	56	not_provided|Inborn_genetic_diseases|Ocular_cystinosis|Juvenile_nephropathic_cystinosis|Cystinosis|Nephropathic_cystinosis
449049	86	Laryngo-onycho-cutaneous_syndrome|Junctional_epidermolysis_bullosa_gravis_of_Herlitz|Junctional_epidermolysis_bullosa,_non-Herlitz_type|LAMA3-related_disorder|not_provided
552174	86	Junctional_epidermolysis_bullosa_gravis_of_Herlitz
253160	109	Xanthinuria_type_II
253162	109	Xanthinuria_type_II|Autism_spectrum_disorder
3685	164	Cardiovascular_phenotype|Hypercholesterolemia,_familial,_1|Homozygous_familial_hypercholesterolemia|not_provided|Familial_hypercholesterolemia
226370	164	Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1
252155	164	Hypercholesterolemia,_familial,_1
6873	164	Nephrotic_syndrome|not_provided|Finnish_congenital_nephrotic_syndrome
56460	164	not_provided|Infantile_Nephrotic_syndrome|Finnish_congenital_nephrotic_syndrome
56419	164	Finnish_congenital_nephrotic_syndrome|Nephrotic_syndrome|not_provided
16792	171	not_provided|Cerebrooculofacioskeletal_syndrome_2|Trichothiodystrophy_1,_photosensitive|Xeroderma_pigmentosum,_group_D|Hypotrichosis_simplex|ERCC2-related_disorder|Trichothiodystrophy
1363277	171	not_provided|Trichothiodystrophy_1,_photosensitive|Cerebrooculofacioskeletal_syndrome_2|Trichothiodystrophy
128071	150	Li-Fraumeni_syndrome_2|Malignant_tumor_of_breast|CHEK2-related_disorder|Hereditary_cancer-predisposing_syndrome|Hereditary_breast_ovarian_cancer_syndrome|Breast_cancer,_susceptibility_to|Prostate_cancer,_susceptibility_to|not_provided|Breast_and/or_ovarian_cancer|Familial_cancer_of_breast|Bone_osteosarcoma|Malignant_tumor_of_prostate|Colorectal_cancer|Predisposition_to_cancer|CHEK2-related_cancer_predisposition
142851	150	Hereditary_breast_ovarian_cancer_syndrome|Hereditary_cancer-predisposing_syndrome|Breast_and/or_ovarian_cancer|not_provided|Familial_cancer_of_breast
60544	157	Muscular_dystrophy-dystroglycanopathy_(congenital_with_intellectual_disability),_type_B14|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A14|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2T|not_provided
60546	157	Muscular_dystrophy|not_provided|Muscular_dystrophy-dystroglycanopathy_(congenital_with_intellectual_disability),_type_B14|Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2T|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A14|GMPPB-related_disorder|Inborn_genetic_diseases
1979504	3591	Meckel-Gruber_syndrome|Familial_aplasia_of_the_vermis
217602	3591	CC2D2A-related_disorder|Familial_aplasia_of_the_vermis|Meckel-Gruber_syndrome|Joubert_syndrome_9|COACH_syndrome_1|Meckel_syndrome,_type_6|not_provided
1069485	3591	Meckel-Gruber_syndrome|Familial_aplasia_of_the_vermis
449547	21	Congenital_myasthenic_syndrome_10|Fetal_akinesia_deformation_sequence_1|Fetal_akinesia_deformation_sequence_3|DOK7-related_disorder|not_provided|Congenital_myasthenic_syndrome
1273	21	Fetal_akinesia_deformation_sequence_3|Congenital_myasthenic_syndrome_10|DOK7-related_disorder|Inborn_genetic_diseases|See_cases|Congenital_myasthenic_syndrome|Abnormality_of_the_musculature|not_provided|Fetal_akinesia_deformation_sequence_1
813360	21	Fetal_akinesia_deformation_sequence_1|Congenital_myasthenic_syndrome_10|Fetal_akinesia_deformation_sequence_3
866470	26	Retinal_dystrophy
866760	26	Retinal_dystrophy|not_provided
16932	26	Retinitis_pigmentosa|Cone-rod_dystrophy|Macular_dystrophy|not_provided|See_cases|Retinitis_pigmentosa_49|Retinal_dystrophy
197861	133	Fraser_syndrome_1|not_provided|FRAS1-related_disorder
916643	133	Fraser_syndrome_1|not_provided
235484	133	Fraser_syndrome_1|Congenital_anomaly_of_kidney_and_urinary_tract|not_provided
633615	133	Fraser_syndrome_1|not_provided
230801	164	Hereditary_cancer-predisposing_syndrome
185537	164	Hereditary_cancer-predisposing_syndrome
489020	171	not_provided|Oculocutaneous_albinism_type_4|SKIN/HAIR/EYE_PIGMENTATION_5,_BLACK/NONBLACK_HAIR
521031	171	not_provided|Inborn_genetic_diseases|Oculocutaneous_albinism_type_4
242518	171	Oculocutaneous_albinism_type_4|not_provided|SKIN/HAIR/EYE_PIGMENTATION_5,_BLACK/NONBLACK_HAIR
199228	157	not_provided|SYNE1-related_disorder|Autosomal_recessive_ataxia,_Beauce_type|Inborn_genetic_diseases
667389	157	Autosomal_recessive_ataxia,_Beauce_type|Autosomal_recessive_cerebellar_ataxia|Inborn_genetic_diseases|not_provided|Emery-Dreifuss_muscular_dystrophy_4,_autosomal_dominant
2326	157	Autosomal_recessive_ataxia,_Beauce_type|not_provided|Emery-Dreifuss_muscular_dystrophy_4,_autosomal_dominant
2327	157	not_provided|Autosomal_recessive_ataxia,_Beauce_type
10	3	Hemochromatosis_type_1|not_provided|Variegate_porphyria|Bronze_diabetes|not_specified|Hereditary_hemochromatosis|Abnormality_of_iron_homeostasis|Cystic_fibrosis|Transferrin_serum_level_quantitative_trait_locus_2|Familial_porphyria_cutanea_tarda|Microvascular_complications_of_diabetes,_susceptibility_to,_7|Alzheimer_disease|Cardiomyopathy
1073981	3	Hereditary_hemochromatosis|Hemochromatosis_type_1
194165	79	Heimler_syndrome_2|Peroxisome_biogenesis_disorder_4A_(Zellweger)|Peroxisome_biogenesis_disorder_4B|not_provided|Zellweger_spectrum_disorders|Peroxisome_biogenesis_disorder
555443	79	Peroxisome_biogenesis_disorder|Heimler_syndrome_2|Peroxisome_biogenesis_disorder_4A_(Zellweger)|Peroxisome_biogenesis_disorder_4B
4115	120	Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease_4|not_provided
488579	120	not_provided|PKHD1-related_disorder|Polycystic_kidney_disease_4|Autosomal_recessive_polycystic_kidney_disease
522152	120	Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease_4|Polycystic_kidney_disease|Inborn_genetic_diseases
357423	120	Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease|not_provided|PKHD1-related_disorder|Polycystic_kidney_disease_4
370457	120	Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease_4
551996	120	Polycystic_kidney_disease_4|Autosomal_recessive_polycystic_kidney_disease
636514	120	Polycystic_kidney_disease_4|not_provided
1946278	120	Autosomal_recessive_polycystic_kidney_disease
862704	120	Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease_4|not_provided
917672	120	Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease_4
2103360	120	Autosomal_recessive_polycystic_kidney_disease
555789	120	not_provided|Autosomal_recessive_polycystic_kidney_disease|Polycystic_kidney_disease_4
43486	85	not_provided|Pendred_syndrome|Autosomal_recessive_nonsyndromic_hearing_loss_4|SLC26A4-related_disorder|Rare_genetic_deafness
43555	85	not_provided|not_specified|Pendred_syndrome|Autosomal_recessive_nonsyndromic_hearing_loss_4|SLC26A4-related_disorder|Rare_genetic_deafness
188878	85	SLC26A4-related_disorder|not_provided|Autosomal_recessive_nonsyndromic_hearing_loss_4|Pendred_syndrome|Rare_genetic_deafness
4819	85	SLC26A4-related_disorder|Rare_genetic_deafness|Autosomal_recessive_nonsyndromic_hearing_loss_4|Pendred_syndrome|not_provided
43498	85	Autosomal_recessive_nonsyndromic_hearing_loss_4|Pendred_syndrome|Rare_genetic_deafness|Hearing_loss,_autosomal_recessive|not_provided
4829	85	Autosomal_recessive_nonsyndromic_hearing_loss_4|Pendred_syndrome|not_provided|Rare_genetic_deafness
228396	85	Pendred_syndrome|not_provided|Autosomal_recessive_nonsyndromic_hearing_loss_4|SLC26A4-related_disorder|Rare_genetic_deafness
7143	16	CFTR-related_disorder|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Hereditary_pancreatitis|Cystic_fibrosis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|not_provided
7108	16	CFTR-related_disorder|Cystic_fibrosis|ivacaftor_response_-_Efficacy|not_specified|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|not_provided|Hereditary_pancreatitis
48688	16	Cystic_fibrosis|CFTR-related_disorder|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|not_provided|ivacaftor_response_-_Efficacy|Hereditary_pancreatitis
38799	16	Hereditary_pancreatitis|Cystic_fibrosis|not_provided|CFTR-related_disorder|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Bronchiectasis_with_or_without_elevated_sweat_chloride_1
38494	16	Cystic_fibrosis|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|CFTR-related_disorder|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|not_specified|not_provided
7190	16	CFTR-related_disorder|Cystic_fibrosis|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Hereditary_pancreatitis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|not_provided|ivacaftor_response_-_Efficacy
7111	16	ivacaftor_response_-_Efficacy|CFTR-related_disorder|Cystic_fibrosis|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|Hereditary_pancreatitis|not_provided
53259	16	CFTR-related_disorder|not_provided|Cystic_fibrosis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1
7106	16	CFTR-related_disorder|not_specified|not_provided|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Cystic_fibrosis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|Hereditary_pancreatitis
7105	16	ivacaftor_/_tezacaftor_response_-_Efficacy|Recurrent_pancreatitis|Obstructive_azoospermia|Duodenal_stenosis|CFTR-related_disorder|Hereditary_pancreatitis|Cystic_fibrosis|Bronchiectasis_with_or_without_elevated_sweat_chloride_1,_modifier_of|ivacaftor_/_lumacaftor_response_-_Efficacy|See_cases|Congenital_bilateral_aplasia_of_vas_deferens_from_CFTR_mutation|Bronchiectasis_with_or_without_elevated_sweat_chloride_1|not_provided
289967	98	Congenital_myotonia,_autosomal_recessive_form|Congenital_myotonia,_autosomal_dominant_form|not_provided
280100	98	CLCN1-related_disorder|Smith-Lemli-Opitz_syndrome|not_provided|Tip-toe_gait|Congenital_myotonia,_autosomal_recessive_form|Congenital_myotonia,_autosomal_dominant_form
21037	98	Congenital_myotonia,_autosomal_dominant_form|Congenital_myotonia,_autosomal_recessive_form|not_provided|CLCN1-related_disorder
570379	98	Congenital_myotonia,_autosomal_recessive_form|Congenital_myotonia,_autosomal_dominant_form|not_provided
1522	45	LPL-related_disorder|Cardiovascular_phenotype|Hyperlipidemia,_familial_combined,_LPL_related|Hyperlipoproteinemia,_type_I|not_provided
1527	45	LPL-related_disorder|Cardiovascular_phenotype|Hyperlipidemia,_familial_combined,_LPL_related|Hyperlipoproteinemia,_type_I|not_provided
1539	45	Cardiovascular_phenotype|Hyperlipoproteinemia,_type_I|Hyperlipidemia,_familial_combined,_LPL_related|not_provided
660098	35	Infantile_nephronophthisis|Nephronophthisis
11962	35	INVS-related_disorder|Nephronophthisis|Infantile_nephronophthisis|not_provided
2196170	139	Short-rib_thoracic_dysplasia_11_with_or_without_polydactyly
665979	139	Short-rib_thoracic_dysplasia_11_with_or_without_polydactyly
